player_name,Over Assists - Price,Over Assists - Point,Under Assists - Price,Under Assists - Point,Over Blocks - Price,Over Blocks - Point,Under Blocks - Price,Under Blocks - Point,Over Points - Price,Over Points - Point,Under Points - Price,Under Points - Point,Over Rebounds - Price,Over Rebounds - Point,Under Rebounds - Price,Under Rebounds - Point,Over Steals - Price,Over Steals - Point,Under Steals - Price,Under Steals - Point,Over Threes - Price,Over Threes - Point,Under Threes - Price,Under Threes - Point
Mike Conley,105.0,3.5,-135.0,3.5,340.0,0.5,-600.0,0.5,100.0,6.5,-130.0,6.5,100.0,2.5,-130.0,2.5,,,,,145.0,1.5,-188.0,1.5
Miles McBride,-225.0,0.5,170.0,0.5,,,,,-110.0,4.5,-120.0,4.5,125.0,1.5,-165.0,1.5,,,,,-185.0,0.5,135.0,0.5
Mitchell Robinson,,,,,,,,,-105.0,2.5,-130.0,2.5,-120.0,4.5,-110.0,4.5,,,,,,,,
Myles Turner,115.0,1.5,-155.0,1.5,-200.0,1.5,148.0,1.5,-132.0,14.5,100.0,14.5,-138.0,5.5,104.0,5.5,,,,,136.0,2.5,-182.0,2.5
Naz Reid,-105.0,1.5,-125.0,1.5,,,,,100.0,11.5,-130.0,11.5,105.0,5.5,-135.0,5.5,,,,,-130.0,1.5,100.0,1.5
Nickeil Alexander-Walker,105.0,1.5,-145.0,1.5,,,,,-105.0,4.5,-130.0,4.5,-135.0,1.5,100.0,1.5,,,,,-155.0,0.5,115.0,0.5
Nicolas Batum,-165.0,0.5,125.0,0.5,,,,,-115.0,5.5,-115.0,5.5,-119.0,2.5,-109.0,2.5,,,,,105.0,1.5,-135.0,1.5
Nikola Jokic,100.0,9.5,-130.0,9.5,-105.0,0.5,-125.0,0.5,-115.0,29.5,-115.0,29.5,-130.0,12.5,100.0,12.5,-166.0,1.5,130.0,1.5,-180.0,1.5,140.0,1.5
Norman Powell,-160.0,1.5,124.0,1.5,300.0,0.5,-500.0,0.5,-105.0,17.5,-125.0,17.5,-115.0,2.5,-115.0,2.5,,,,,110.0,2.5,-140.0,2.5
OG Anunoby,-123.0,1.5,-104.0,1.5,-250.0,0.5,175.0,0.5,100.0,16.5,-130.0,16.5,-145.0,4.5,114.0,4.5,-166.0,1.5,124.0,1.5,-166.0,1.5,130.0,1.5
Obi Toppin,160.0,1.5,-220.0,1.5,,,,,-112.0,8.5,-118.0,8.5,-154.0,2.5,120.0,2.5,,,,,138.0,1.5,-186.0,1.5
Paolo Banchero,-114.0,4.5,-114.0,4.5,-125.0,0.5,-105.0,0.5,-106.0,29.5,-125.0,29.5,102.0,8.5,-136.0,8.5,-180.0,0.5,140.0,0.5,-188.0,1.5,140.0,1.5
Pascal Siakam,-154.0,2.5,116.0,2.5,105.0,0.5,-145.0,0.5,-110.0,20.5,-120.0,20.5,-146.0,6.5,110.0,6.5,-192.0,0.5,140.0,0.5,-114.0,1.5,-114.0,1.5
Rudy Gobert,100.0,0.5,-130.0,0.5,-155.0,0.5,110.0,0.5,-120.0,7.5,-110.0,7.5,-135.0,8.5,105.0,8.5,,,,,,,,
Rui Hachimura,175.0,1.5,-235.0,1.5,110.0,0.5,-155.0,0.5,-115.0,13.5,-115.0,13.5,100.0,5.5,-130.0,5.5,,,,,-180.0,1.5,140.0,1.5
Stephen Curry,-110.0,5.5,-120.0,5.5,140.0,0.5,-200.0,0.5,-115.0,26.5,-115.0,26.5,100.0,4.5,-130.0,4.5,,,,,105.0,4.5,-135.0,4.5
T.J. McConnell,-114.0,4.5,-114.0,4.5,,,,,-108.0,8.5,-122.0,8.5,-140.0,2.5,106.0,2.5,,,,,,,,
Tim Hardaway Jr,140.0,1.5,-180.0,1.5,360.0,0.5,-625.0,0.5,-120.0,12.5,-110.0,12.5,105.0,2.5,-135.0,2.5,,,,,-135.0,2.5,105.0,2.5
Tobias Harris,-110.0,1.5,-120.0,1.5,-145.0,0.5,105.0,0.5,-120.0,14.5,-110.0,14.5,-105.0,6.5,-125.0,6.5,,,,,135.0,1.5,-175.0,1.5
Tyrese Haliburton,-114.0,10.5,-114.0,10.5,125.0,0.5,-175.0,0.5,-114.0,18.5,-114.0,18.5,-130.0,4.5,-102.0,4.5,-225.0,0.5,164.0,0.5,130.0,3.5,-174.0,3.5
Wendell Carter Jr,115.0,1.5,-155.0,1.5,-110.0,0.5,-125.0,0.5,-110.0,9.5,-120.0,9.5,-140.0,8.5,106.0,8.5,,,,,-120.0,0.5,-110.0,0.5
